0,19516.93,19567.53,19350.02,19377.62,19516.93,19516.93,19516.93
60,19377.61,19393.91,19033.56,19286.25,19377.61,19377.61,19377.61
120,19288.11,19489.99,19144.0,19398.99,19288.11,19288.11,19288.11
180,19398.98,19580.08,19284.37,19358.26,19398.98,19398.98,19398.98
240,19358.27,19423.35,19250.0,19369.42,19358.27,19358.27,19358.27
300,19370.0,19556.74,19367.41,19509.98,19370.0,19370.0,19370.0
360,19503.0,19521.81,19433.25,19500.0,19503.0,19503.0,19503.0
420,19500.0,19749.93,19500.0,19735.0,19500.0,19500.0,19500.0
480,19740.99,19748.99,19572.91,19624.32,19740.99,19740.99,19740.99
540,19624.31,19739.99,19552.61,19739.99,19624.31,19624.31,19624.31
600,19740.24,19750.0,19720.01,19750.0,19740.24,19740.24,19740.24
660,19750.0,19847.12,19749.99,19847.12,19750.0,19750.0,19750.0
720,19847.12,19891.99,19710.0,19770.0,19847.12,19847.12,19847.12
780,19770.0,19869.99,19725.99,19820.0,19770.0,19770.0,19770.0
840,19819.95,19819.95,19563.19,19684.97,19819.95,19819.95,19819.95
900,19726.52,19726.52,19420.07,19632.5,19726.52,19726.52,19726.52
960,19640.0,19688.7,19402.01,19405.01,19640.0,19640.0,19640.0
1020,19405.01,19550.0,19405.01,19536.01,19405.01,19405.01,19405.01
1080,19525.0,19525.0,19251.01,19251.01,19525.0,19525.0,19525.0
1140,19222.02,19430.0,19127.5,19300.0,19222.02,19222.02,19222.02
1200,19349.0,19557.6,19349.0,19421.57,19349.0,19349.0,19349.0
1260,19421.56,19450.0,19378.1,19440.99,19421.56,19421.56,19421.56
1320,19419.52,19787.98,19419.51,19690.0,19419.52,19419.52,19419.52
1380,19719.99,19719.99,19139.18,19378.99,19719.99,19719.99,19719.99
1440,19379.99,19385.0,18218.01,18218.01,19379.99,19379.99,19379.99
1500,18400.15,18859.28,18270.21,18800.0,18400.15,18400.15,18400.15
1560,18849.99,19089.0,18468.17,18545.57,18849.99,18849.99,18849.99
1620,18560.0,18830.01,18560.0,18799.96,18560.0,18560.0,18560.0
1680,18811.0,19099.99,18804.94,18984.0,18811.0,18811.0,18811.0
1740,18976.0,19183.74,18874.99,19141.57,18976.0,18976.0,18976.0
1800,19133.37,19173.47,19000.51,19144.0,19133.37,19133.37,19133.37
1860,19144.0,19144.0,18810.1,18853.83,19144.0,19144.0,19144.0
1920,18864.0,19122.98,18864.0,19112.5,18864.0,18864.0,18864.0
1980,19112.5,19112.5,18860.0,18980.01,19112.5,19112.5,19112.5
2040,18980.01,19099.0,18970.0,19020.0,18980.01,18980.01,18980.01
2100,19020.0,19317.97,19019.99,19231.9,19020.0,19020.0,19020.0
